urn|version|label_eng|desc_eng|type|has_mods|urn_status|redirect_to|member_of|created_by|edited_by
urn:cite:perseus:catver.30.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc11|"De bello peloponnesiaco libri octo, Graece et latine, Volumen Secundum, Book II-Book III"|"Thucydides.,creator Duker, Carolus Andreas,,1660-1752,editor Wasse, Joseph,1672-1738,editor Societas Bipontina,printer"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.31.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc12|"Thucydides, Histories, Book IV"|"Thucydides.,creator Mills, T. R.,,editor Jones, Henry Stuart,1867-1939,author of introduction"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.32.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc13|"Thucydides, Book I"|"Thucydides.,creator Morris, Charles D'Urban,1827-1886,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.33.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc14|"Thoukydídou Xyngraphe, Zweiten Bandes, Erstes Heft, Fünftes und Sechstes Buch"|"Thucydides.,creator Krüger, K. W. (Karl Wilhelm),,1796-1874,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.34.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc15|"Thoukydídou Xyngraphe, Zweiten Bandes, Zweites Heft, Siebentes und Achtes Buch"|"Thucydides.,creator Krüger, K. W. (Karl Wilhelm),,1796-1874,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.35.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc16|"History of the Pelopennesian War, Volume IV, Books VII and VIII"|"Thucydides.,creator editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.36.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc17|"History of the Pelopennesian War, Volume I, Books I and II"|"Thucydides.,creator editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.37.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc18|"History of the Pelopennesian War, Volume III, Books V and VI"|"Thucydides.,creator editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.38.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc19|"De bello Peloponnesiaco libri octo, Pars II, Contextus Verborum Cum Scholiis Et Scripturae Discreptantis, Volume III, Thucydidis Liber IV et V"|"Thucydides.,creator Poppo, Ernest Friedrich,1794-1866,editor Duker, Carolus Andreas,,1660-1752,editor of scholia"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.39.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc20|"De bello Peloponnesiaco libri octo, Pars II, Contextus Verborum Cum Scholiis Et Scripturae Discreptantis, Volume II, Thucydidis Liber II et III"|"Thucydides.,creator Poppo, Ernest Friedrich,1794-1866,editor Duker, Carolus Andreas,,1660-1752,editor of scholia"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.40.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc21|"First Book, with English notes and grammatical references"|"Thucydides.,creator Arnold, Thomas Kerchever,1800-1853,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.41.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc22|"History II"|"Thucydides.,creator "|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.42.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc23|"The history of the Peloponnesian war, Vol III-Books VII-VIII"|"Thucydides.,creator Arnold, Thomas,1795-1842,editor Tiddeman, Richard Philip Goldsworthy,1799?-1879. ,indexer"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.43.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc24|"De Bello Peloponnesiaco libri octo, Vol III"|"Thucydides.,creator Bekker, Immanuel,1785-1871,editor Duker, Carolus Andreas,,1660-1752,editor Wasse, Joseph,1672-1738,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.44.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc25|"De bello Peloponnesiaco libri VIII, Volumen Tertium"|"Thucydides.,creator Gottleber, Johann Cristoph.,1733-1785,co-editor Bauer, Karl Ludwig,1730-1799,co-editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.45.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc26|"Die , Geschichte des Peloponnesischen Krieges, Erster Teil, Buch I bis Buch V 24.2"|"Thucydides.,creator Müller, Franz,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.46.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc27|"The history of the Peloponnesian war, Vol II-Books IV-VI"|"Thucydides.,creator Arnold, Thomas,1795-1842,editor Tiddeman, Richard Philip Goldsworthy,1799?-1879. ,indexer"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.47.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc28|"De bello peloponnesiaco, libri octo, Vol I"|"Thucydides.,creator Bauer, Karl Ludwig,1730-1799,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.48.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc29|"De bello peloponnesiaco, libri octo, Vol II"|"Thucydides.,creator Bauer, Karl Ludwig,1730-1799,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.49.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc30|"De bello Peloponnesiaco libri octo, ex optimis editionibus expressi"|"Thucydides.,creator"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.50.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc31|"De Bello Peloponnesiaco libri octo, Vol I"|"Thucydides.,creator Bekker, Immanuel,1785-1871,editor Duker, Carolus Andreas,,1660-1752,editor Wasse, Joseph,1672-1738,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.51.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc32|"The , history of the Peloponnesian War, illustrated by maps, taken entirely from actual surveys, Vol I, Book I-Book III"|"Thucydides.,creator Arnold, Thomas,1795-1842,editor Tiddeman, Richard Philip Goldsworthy,1799?-1879,indexer"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.52.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc33|"De bello Peloponnesiaco libri octo, Pars IV, Supplementa Et Indices"|"Thucydides.,creator Poppo, Ernest Friedrich,1794-1866,editor Duker, Carolus Andreas,,1660-1752,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.53.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc34|"The history of the Peloponnesian war, Vol II-Book III"|"Thucydides.,creator Arnold, Thomas,1795-1842,editor Tiddeman, Richard Philip Goldsworthy,1799?-1879.],indexer"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.54.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc35|"Thoukydides, meta scholion palaion kai panu ophelimon choris on, ouk euxunetos ho
      xungrapheus"|"Thucydides.,creator Francino, Antonio,editor Giunta, Bernardo,1487-1551,printer"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.55.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc36|"Thucydides, Vol I"|"Thucydides.,creator Donaldson, John William,1811-1861,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.56.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc37|"Thucydides, Vol II"|"Thucydides.,creator Donaldson, John William,1811-1861,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.57.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc38|"Thoukydidou Peri tou Peloponnesiakou polemou biblia 8 =, Thucydidis De bello Peloponnesiaco libri viii"|"Thucydides.,creator  Estienne, Henri,1531-1598,editor,printer Casaubon, Isaac,,1559-1614,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.58.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc39|"Thukydides, Volume VI"|"Thucydides.,creator Classen, Johannes,1805-1891,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.59.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc40|"Thukydides, Volume VII"|"Thucydides.,creator Classen, Johannes,1805-1891,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.60.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc41|"Thukydides, Volume VIII"|"Thucydides.,creator Classen, Johannes,1805-1891,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.61.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc42|"Thukydides, Volume III"|"Thucydides.,creator Classen, Johannes,1805-1891,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.62.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc43|"Thukydides, Volume I"|"Thucydides.,creator Classen, Johannes,1805-1891,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.63.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc44|"Thucydides, books II and III"|"Thucydides.,creator Lamberton, W. A. (William Alexander),,1848-1910,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.64.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc45|"Thukydides, Volume IV"|"Thucydides.,creator Classen, Johannes,1805-1891,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.65.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc46|"Thucydides, Vol II"|"Thucydides.,creator Donaldson, John William,1811-1861,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.66.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc47|"History of the Pelopennesian War, Volume II, Books III and IV"|"Thucydides.,creator editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.67.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc48|"De bello Peloponnesiaco libri octo, Pars II, Contextus Verborum Cum Scholiis Et Scripturae Discreptantis, Volume I, Thucydidis Liber I. Cum Disputatione:  De Artis Criticae Apud
      Thucydidem Exercendae Ratione Et Subsidiis"|"Thucydides.,creator Poppo, Ernest Friedrich,1794-1866,editor Duker, Carolus Andreas,,1660-1752,editor of scholia"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.68.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc49|"Thucydides, Vol I"|"Thucydides.,creator Donaldson, John William,1811-1861,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.69.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc50|"De bello Peloponnesiaco libri octo, Pars II-Vol IV, Contextus Verborum Cum Scholiis Et Scripturae Discrepantiis"|"Thucydides.,creator Poppo, Ernest Friedrich,1794-1866,editor Duker, Carolus Andreas,,1660-1752,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.70.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc51|"The history of the Peloponnesian war, Vol I-Books I-II"|"Thucydides.,creator Arnold, Thomas,1795-1842,editor Tiddeman, Richard Philip Goldsworthy,1799?-1879,indexer"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.71.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc52|"De Bello Peloponnesiaco libri octo, Vol II"|"Thucydides.,creator Bekker, Immanuel,1785-1871,editor Duker, Carolus Andreas,,1660-1752,editor Wasse, Joseph,1672-1738,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.72.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc53|"De bello peloponnesiaco, libri octo, Vol III"|"Thucydides.,creator Bauer, Karl Ludwig,1730-1799,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.73.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc54|"Thukydides, Ersten Bandes, Erstes Heft, Buch I & II."|"Thucydides.,creator Boehme, Gottfried,editor Widmann, Simon,1851-1934,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.74.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc55|"Thoukydídou Xyngraphe"|"Thucydides.,creator Croiset, Alfred,1845-1923,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.75.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc56|"A , commentary on Thucydides, Volume I-Books I-III"|"Hornblower, Simon.,creator"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.76.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc57|"The , Sicilian expedition, being books VI and VII of Thucydides"|"Thucydides.,creator Frost, Percival,,1817-1898,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.77.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc58|"Thucydides, Book III"|"Thucydides.,creator Marchant, E. C. (Edgar Cardew),1864-1960,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.78.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc59|"Thucydides, Book II"|"Thucydides.,creator Marchant, E. C. (Edgar Cardew),1864-1960,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.79.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc60|"Thucydides, Book I"|"Thucydides.,creator Marchant, E. C. (Edgar Cardew),1864-1960,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.80.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc61|"Thucydides, Book VI"|"Thucydides.,creator Marchant, E. C. (Edgar Cardew),1864-1960,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.81.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc62|"The Fourth Book of Thucydides"|"Thucydides.,creator Graves, C. E. (Charles Edward),1839-1920,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.82.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc63|"The Fifth Book of Thucydides"|"Thucydides.,creator Graves, C. E. (Charles Edward),1839-1920,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.83.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc64|"Thoukydidou Xyngraphes D, The fourth book of Thucydides."|"Thucydides.,creator Graves, C. E. (Charles Edward),1839-1920,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.84.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc65|"De bello Peloponnesiaco libri VIII, Volumen Primum"|"Thucydides.,creator Gottleber, Johann Cristoph.,1733-1785,co-editor Bauer, Karl Ludwig,1730-1799,co-editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.85.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc66|"De bello Peloponnesiaco libri VIII, Volumen Secundum"|"Thucydides.,creator Gottleber, Johann Cristoph.,1733-1785,co-editor Bauer, Karl Ludwig,1730-1799,co-editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.86.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc67|"Ex Thucydide, institutum funebris orationis apud Athenienses; Periclis oratio funebris; item
         Pestis atheniensis. Omnia ordine ex libro secundo Historiae"|"Thucydides.,creator Foulis Press,printer"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.87.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc68|"Thukydides, Volume II"|"Thucydides.,creator Classen, Johannes,1805-1891,editor Steup, Julius,1847-1925,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.88.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc69|"De bello Peloponnesiaco, libri octo, Vol III-Sect I"|"Thucydides.,creator Poppo, Ernest Friedrich,1794-1866,editor Stahl, Johann Matthias,,1833-1916,compilation editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.89.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc70|"De bello Peloponnesiaco, libri octo, Volume 1, Section 1"|"Thucydides.,creator Poppo, Ernest Friedrich,1794-1866,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.90.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc71|"De bello Peloponnesiaco, libri octo, Volume II, Section I"|"Thucydides.,creator Poppo, Ernest Friedrich,1794-1866,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.91.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc72|"History of the Peloponnesian War"|"Thucydides.,creator Owen, John Jason,1803-1869,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.92.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc73|"Geschichte, Erster Band, Buch I-Buch IV."|"Thucydides.,creator "|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.93.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc74|"De bello peloponnesiaco, libri octo, Vol 1"|"Thucydides.,creator Haacke, Christoph Friedrich Ferdinand,1781-1855‏,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.94.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc75|"De bello peloponnesiaco, libri octo, Vol 2"|"Thucydides.,creator Haacke, Christoph Friedrich Ferdinand,1781-1855‏,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.95.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc76|"Thucydidis Historiae, Tomus Prior"|"Thucydides.,creator Jones, Henry Stuart,1867-1939,editor Powell, John Enoch,1912-1998 ,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.96.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc77|"Fourth Book"|"Thucydides.,creator Barton, Alfred Thomas,1840-1912,editor Chavasse, Albert Sydney,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.97.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc78|"Thoukydides meta scholion palaion kai pany ophelimon choris hon ho syngrapheus poly
         aneucheres esti, Thucydides cum scholiis et antiquis et utilibus sine quibus autor intellectu multum est
         difficilis"|"Thucydides.,creator Camerarius, Joachim,1500-1574,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.98.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc79|"Histoire grecque de Thucydide, accompagnée de la version latine, des variants des 13 manuscrits de la Bibliothèque
         impériale, d'observations historiques, littéraires et critiques, de specimen de ces
         manuscrits, de cartes géographiques et d'estampes"|"Thucydides.,creator editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.99.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc80|"Thucydidis Historiae, Tomus Prior, Libri I-IV"|"Thucydides.,creator Jones, Henry Stuart,1867-1939,editor"|edition|true|published|||feed_aggregator|feed_aggregator
